"","Area","Velocity","Points","Class","State"
"167",0.000289598,0,0.750819673,1,NA
"168",0.001628994,0,0.727868853,1,NA
"169",0.000434397,0,0.724590165,1,NA
"170",0.003330382,0,0.724590165,1,NA
"172",0.063530674,0,0.616393443,1,NA
"173",0.037430574,0,0.600000001,1,NA
"174",0.049304031,0,0.619672131,1,NA
"175",0.01527631,0,0.609836066,1,NA
"176",0.001628994,0,0.629508197,1,NA
"177",0.000506797,0,0.645901639,1,NA
"178",7.24e-05,0,0.62295082,1,NA
"179",0.000760196,0,0.619672131,1,NA
"180",0.054444443,0,0.629508197,1,NA
"181",0.295969125,0,0.603278689,1,NA
"182",0.345165642,0.152038319,0.813114754,1,NA
"185",0.012923328,0,0.767213115,1,NA
"187",0.032036749,0,0.813114754,1,NA
"192",0.306612151,0,0.73442623,1,NA
"196",0.133830549,0,0.672131148,1,NA
"198",0.244058494,0,0.681967214,1,NA
"200",0.006769359,0,0.642622951,1,NA
"201",0.098572064,0,0.649180329,1,NA
"203",0.003728579,0,0.573770492,1,NA
"204",0.006407366,0.205122916,0.583606558,1,NA
"205",0.055059897,0,0.609836066,1,NA
"206",0.076019585,0,0.639344263,1,NA
"207",0.034607035,0,0.613114755,1,NA
"208",0.01042553,0,0.626229509,1,NA
"211",0.021176944,0,0.645901639,1,NA
"212",0.030082076,0,0.672131148,1,NA
"213",0.06573876,0.147419999,0.721311476,1,NA
"215",0.103350434,0.141487458,0.708196722,1,NA
"216",0.066209429,0.150995285,0.678688525,1,NA
"217",0.067295394,0.136991985,0.688524591,1,NA
"218",0.156452473,0,0.659016394,1,NA
"219",0.069364748,0.18423096,0.777049181,1,NA
"220",0.115620496,0.159358095,0.636065574,1,NA
"221",0.080943219,0.181085635,0.662295082,1,NA
"222",0.085081129,0.150158541,0.724590165,1,NA
"225",0.672676796,0.152471757,0.527868853,2,NA
"226",0.708772612,0.152226065,0.626229509,2,NA
"228",0.290024832,0.137395291,0.429508198,2,NA
"229",0.620043037,0.150353241,0.822950821,2,NA
"230",0.266585328,0.163913831,0.659016394,2,NA
"231",0.178569324,0.228803247,0.737704918,2,NA
"233",0.749404694,0.156858291,0.393442623,2,NA
"234",0.251909358,0.145687405,0.547540984,2,NA
"235",0.290652391,0.166335987,0.462295083,2,NA
"236",0.39849545,0.176638837,0.324590164,2,NA
"239",0.366739988,0.160776619,0.593442623,2,NA
"240",0.027186065,0.186945164,0.577049181,2,NA
"243",0.28607949,0.174302442,0.701639345,2,NA
"244",0.584133577,0.222526505,0.370491804,2,NA
"245",0.195089746,0.249621031,0.38032787,2,NA
"246",0.347045134,0.210734435,0.632786886,2,NA
"248",0.865525485,0.19036979,0.642622951,2,NA
"249",0.648393113,0.201215018,0.636065574,2,NA
"250",0.702950963,0.176121956,0.737704918,2,NA
"251",0.618662088,0.162764177,0.609836066,2,NA
"252",0.210065161,0.1628256,0.721311476,2,NA
"253",0.697825363,0.16745435,0.58032787,2,NA
"254",0.728472243,0.181983803,0.681967214,2,NA
"256",0.458393926,0.203362508,0.485245902,2,NA
"257",0.529325661,0.190421941,0.518032787,2,NA
"258",0.593075503,0.151516802,0.849180329,2,NA
"259",0.795439522,0.158459927,0.560655738,2,NA
"261",0.658314605,0.177723592,0.55737705,2,NA
"262",0.671493352,0.161594821,0.524590164,2,NA
"263",0.524779836,0.154119749,0.436065574,2,NA
"264",0.652891153,0.205792775,0.488524591,2,NA
"265",0.51507815,0.273798542,0.455737706,2,NA
"266",0.633946504,0.232209329,0.442622951,2,NA
"267",0.54147228,0.20823579,0.478688526,2,NA
"268",0.628674368,0.19359508,0.462295083,2,NA
"269",0.438724557,0.176709531,0.668852459,2,NA
"270",0.33540343,0.188342829,0.675409837,2,NA
"272",0.568133998,0.208282147,0.455737706,2,NA
"273",0.605069215,0.191520603,0.609836066,2,NA
"274",0.686006858,0.181333645,0.514754099,2,NA
"276",0.641891343,0.149656726,0.639344263,2,NA
"277",0.553695353,0.155114108,0.459016394,2,NA
"278",0.62409191,0.175442826,0.436065574,2,NA
"280",0.621494069,0.208503502,0.491803279,2,NA
"281",0.572869364,0.172581438,0.531147542,2,NA
"282",0.450221318,0.151076411,0.58032787,2,NA
"283",0.284448472,0.153306184,0.636065574,2,NA
"284",0.626305889,0.164236013,0.518032787,2,NA
"285",0.70942247,0.1970904,0.629508197,2,NA
"286",0.620997119,0.18852478,0.606557378,2,NA
"288",0.630928166,0.205296754,0.491803279,2,NA
